etapa,iter,est,node,prob,Submercado,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,6,1,1,1.0,1,6,6,1000.0,1000.0,0.0,1000.0,0.0,0.0
FW,6,2,83,0.33299999999999996,1,6,6,1500.0,0.0,2109.0,1500.0,1.1368683772161603e-13,608.9999999999999
FW,6,2,84,0.666,1,6,6,960.0,0.0,959.9999999999998,960.0,0.0,-2.2737367544323206e-13
FW,6,3,85,0.6666666,1,6,6,1500.0,608.9999999999999,1405.0000000000002,1500.0,2.2737367544323206e-13,513.9999999999998
FW,6,3,86,0.3333333,1,6,6,1700.0,608.9999999999999,2381.0,1700.0,0.0,1290.0
FW,6,3,87,0.6666672000000001,1,6,6,786.4999999999998,-2.2737367544323206e-13,786.5,786.4999999999998,0.0,0.0
FW,6,3,88,0.33333359999999995,1,6,6,1500.0,-2.2737367544323206e-13,1736.0000000000005,1500.0,0.0,236.00000000000026
FW,6,4,13,0.1666667,1,6,6,1641.9999999999998,513.9999999999998,1128.0,1641.9999999999998,0.0,0.0
FW,6,4,16,0.1666667,1,6,6,1700.0,513.9999999999998,1447.0,1700.0,0.0,260.9999999999998
FW,6,4,19,0.1666667,1,6,6,1401.9999999999998,513.9999999999998,888.0,1401.9999999999998,0.0,0.0
FW,6,4,22,0.1666667,1,6,6,1470.9999999999998,513.9999999999998,957.0,1470.9999999999998,0.0,0.0
FW,6,4,25,0.1666667,1,6,6,1700.0,513.9999999999998,1280.0,1700.0,0.0,93.99999999999977
FW,6,4,28,0.1666667,1,6,6,1239.9999999999998,513.9999999999998,726.0,1239.9999999999998,0.0,0.0
FW,6,4,4,0.3333333,1,6,6,1700.0,1290.0,1378.0,1700.0,0.0,968.0
FW,6,4,7,0.3333333,1,6,6,1700.0,1290.0,1691.0,1700.0,0.0,1281.0
FW,6,4,10,0.3333333,1,6,6,1700.0,1290.0,1129.0,1700.0,0.0,719.0
FW,6,4,89,0.1666666,1,6,6,938.0,0.0,938.0,938.0,0.0,0.0
FW,6,4,90,0.2499999,1,6,6,590.0,0.0,590.0,590.0,0.0,0.0
FW,6,4,91,0.0833333,1,6,6,1110.0,0.0,1110.0,1110.0,0.0,0.0
FW,6,4,92,0.2499999,1,6,6,419.66666666666663,0.0,419.66666666666663,419.66666666666663,0.0,0.0
FW,6,4,93,0.0833333,1,6,6,282.0,0.0,282.0,282.0,0.0,0.0
FW,6,4,94,0.1666666,1,6,6,781.0,0.0,781.0,781.0,0.0,0.0
FW,6,4,31,0.1666667,1,6,6,1277.0000000000002,236.00000000000026,1041.0,1277.0000000000002,0.0,0.0
FW,6,4,34,0.1666667,1,6,6,1597.0000000000002,236.00000000000026,1361.0,1597.0000000000002,0.0,0.0
FW,6,4,37,0.1666667,1,6,6,1041.0000000000002,236.00000000000026,805.0,1041.0000000000002,0.0,0.0
FW,6,4,58,0.1666667,1,6,6,1078.0000000000002,236.00000000000026,842.0,1078.0000000000002,0.0,0.0
FW,6,4,61,0.1666667,1,6,6,1405.0000000000002,236.00000000000026,1169.0,1405.0000000000002,0.0,0.0
FW,6,4,64,0.1666667,1,6,6,855.0000000000002,236.00000000000026,619.0,855.0000000000002,0.0,0.0
