iter,est,noUso,usina,Indep,Coef
1,1,1,6,48307.03773687001,-25.51890555
2,1,1,6,48627.03166339144,-23.310000000000002
3,1,1,6,48676.91852828234,-23.310000000000002
4,1,1,6,48715.59827736001,-23.67371259
5,1,1,6,0.0,0.0
6,1,1,6,0.0,0.0
7,1,1,6,0.0,0.0
8,1,1,6,0.0,0.0
9,1,1,6,0.0,0.0
10,1,1,6,0.0,0.0
1,2,2,6,19223.610480000003,-16.63335
2,2,2,6,15562.498590000001,-8.871120000000001
3,2,2,6,18245.20542,-13.310009999999998
4,2,2,6,17026.076879999997,-11.09223
5,2,2,6,0.0,0.0
6,2,2,6,0.0,0.0
7,2,2,6,0.0,0.0
8,2,2,6,0.0,0.0
9,2,2,6,0.0,0.0
10,2,2,6,0.0,0.0
1,2,15,6,37625.68665,-27.74223
2,2,15,6,37675.586700000014,-26.633340000000004
3,2,15,6,37675.586700000014,-26.633340000000004
4,2,15,6,37675.586700000014,-26.633340000000004
5,2,15,6,0.0,0.0
6,2,15,6,0.0,0.0
7,2,15,6,0.0,0.0
8,2,15,6,0.0,0.0
9,2,15,6,0.0,0.0
10,2,15,6,0.0,0.0
1,2,28,6,50946.59241000001,-29.960010000000004
2,2,28,6,50946.59241000001,-29.960009999999997
3,2,28,6,50946.59241000001,-29.960009999999997
4,2,28,6,50946.59241000001,-29.960009999999997
5,2,28,6,0.0,0.0
6,2,28,6,0.0,0.0
7,2,28,6,0.0,0.0
8,2,28,6,0.0,0.0
9,2,28,6,0.0,0.0
10,2,28,6,0.0,0.0
1,3,3,6,2997.0,0.0
2,3,3,6,2997.0,0.0
3,3,3,6,2997.0,0.0
4,3,3,6,2997.0,0.0
5,3,3,6,0.0,0.0
6,3,3,6,0.0,0.0
7,3,3,6,0.0,0.0
8,3,3,6,0.0,0.0
9,3,3,6,0.0,0.0
10,3,3,6,0.0,0.0
1,3,7,6,14159.16,-19.98
2,3,7,6,5700.96,-3.3299999999999996
3,3,7,6,11681.639999999998,-13.32
4,3,7,6,9776.880000000001,-9.99
5,3,7,6,0.0,0.0
6,3,7,6,0.0,0.0
7,3,7,6,0.0,0.0
8,3,7,6,0.0,0.0
9,3,7,6,0.0,0.0
10,3,7,6,0.0,0.0
1,3,11,6,20349.63,-29.97
2,3,11,6,18884.43,-23.310000000000002
3,3,11,6,20349.629999999997,-29.97
4,3,11,6,18884.430000000004,-23.310000000000002
5,3,11,6,0.0,0.0
6,3,11,6,0.0,0.0
7,3,11,6,0.0,0.0
8,3,11,6,0.0,0.0
9,3,11,6,0.0,0.0
10,3,11,6,0.0,0.0
1,3,16,6,16986.33,-23.310000000000002
2,3,16,6,15857.460000000003,-19.98
3,3,16,6,15857.460000000003,-19.98
4,3,16,6,15857.460000000003,-19.98
5,3,16,6,0.0,0.0
6,3,16,6,0.0,0.0
7,3,16,6,0.0,0.0
8,3,16,6,0.0,0.0
9,3,16,6,0.0,0.0
10,3,16,6,0.0,0.0
1,3,20,6,25424.550000000003,-29.97
2,3,20,6,25424.550000000003,-29.97
3,3,20,6,25424.550000000003,-29.97
4,3,20,6,25424.550000000003,-29.97
5,3,20,6,0.0,0.0
6,3,20,6,0.0,0.0
7,3,20,6,0.0,0.0
8,3,20,6,0.0,0.0
9,3,20,6,0.0,0.0
10,3,20,6,0.0,0.0
1,3,24,6,29760.210000000003,-29.97
2,3,24,6,29760.210000000003,-29.97
3,3,24,6,29760.210000000003,-29.97
4,3,24,6,29760.210000000003,-29.97
5,3,24,6,0.0,0.0
6,3,24,6,0.0,0.0
7,3,24,6,0.0,0.0
8,3,24,6,0.0,0.0
9,3,24,6,0.0,0.0
10,3,24,6,0.0,0.0
1,3,29,6,23676.3,-29.97
2,3,29,6,23676.3,-29.97
3,3,29,6,23676.3,-29.97
4,3,29,6,23676.3,-29.97
5,3,29,6,0.0,0.0
6,3,29,6,0.0,0.0
7,3,29,6,0.0,0.0
8,3,29,6,0.0,0.0
9,3,29,6,0.0,0.0
10,3,29,6,0.0,0.0
1,3,33,6,31208.760000000002,-29.97
2,3,33,6,31208.760000000002,-29.97
3,3,33,6,31208.760000000002,-29.97
4,3,33,6,31208.760000000002,-29.97
5,3,33,6,0.0,0.0
6,3,33,6,0.0,0.0
7,3,33,6,0.0,0.0
8,3,33,6,0.0,0.0
9,3,33,6,0.0,0.0
10,3,33,6,0.0,0.0
1,3,37,6,34895.07,-29.97
2,3,37,6,34895.07,-29.97
3,3,37,6,34895.07,-29.97
4,3,37,6,34895.07,-29.97
5,3,37,6,0.0,0.0
6,3,37,6,0.0,0.0
7,3,37,6,0.0,0.0
8,3,37,6,0.0,0.0
9,3,37,6,0.0,0.0
10,3,37,6,0.0,0.0
