etapa,iter,est,node,usina,generation,VI,AFL,TURB,VERT,VF
FORWARD ,1,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0
FORWARD ,1,2,2,1,1.0,0.0,1.0,1.0,0.0,0.0
FORWARD ,1,3,3,1,1.0,0.0,1.0,1.0,0.0,0.0
FORWARD ,1,4,4,1,1.0,0.0,1.0,1.0,0.0,0.0
FORWARD ,1,5,5,1,1.0,0.0,1.0,1.0,0.0,0.0
BACKWARD ,1,5,5,1,1.0,0.0,1.0,1.0,0.0,0.0
BACKWARD ,1,4,4,1,1.0,0.0,1.0,1.0,0.0,0.0
BACKWARD ,1,3,3,1,0.0,0.0,1.0,0.0,0.0,1.0
BACKWARD ,1,2,2,1,0.0,0.0,1.0,0.0,0.0,1.0
BACKWARD ,1,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0
FORWARD ,2,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0
FORWARD ,2,2,2,1,0.0,1.0,1.0,0.0,0.0,2.0
FORWARD ,2,3,3,1,0.0,2.0,1.0,0.0,0.0,3.0
FORWARD ,2,4,4,1,4.0,3.0,1.0,4.0,0.0,0.0
FORWARD ,2,5,5,1,1.0,0.0,1.0,1.0,0.0,0.0
