NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1,2,1,2,0.02
2,3,1,3,1.0
3,4,1,4,1.0
1,5,2,2,0.02
5,6,1,3,1.0
6,7,1,4,1.0
1,8,3,2,0.02
8,9,1,3,1.0
9,10,1,4,1.0
1,11,4,2,0.02
11,12,1,3,1.0
12,13,1,4,1.0
1,14,5,2,0.02
14,15,1,3,1.0
15,16,1,4,1.0
1,17,6,2,0.02
17,18,1,3,1.0
18,19,1,4,1.0
1,20,7,2,0.02
20,21,1,3,1.0
21,22,1,4,1.0
1,23,8,2,0.02
23,24,1,3,1.0
24,25,1,4,1.0
1,26,9,2,0.02
26,27,1,3,1.0
27,28,1,4,1.0
1,29,10,2,0.02
29,30,1,3,1.0
30,31,1,4,1.0
1,32,11,2,0.02
32,33,1,3,1.0
33,34,1,4,1.0
1,35,12,2,0.02
35,36,1,3,1.0
36,37,1,4,1.0
1,38,13,2,0.02
38,39,1,3,1.0
39,40,1,4,1.0
1,41,14,2,0.02
41,42,1,3,1.0
42,43,1,4,1.0
1,44,15,2,0.02
44,45,1,3,1.0
45,46,1,4,1.0
1,47,16,2,0.02
47,48,1,3,1.0
48,49,1,4,1.0
1,50,17,2,0.02
50,51,1,3,1.0
51,52,1,4,1.0
1,53,18,2,0.02
53,54,1,3,1.0
54,55,1,4,1.0
1,56,19,2,0.02
56,57,1,3,1.0
57,58,1,4,1.0
1,59,20,2,0.02
59,60,1,3,1.0
60,61,1,4,1.0
1,62,21,2,0.02
62,63,1,3,1.0
63,64,1,4,1.0
1,65,22,2,0.02
65,66,1,3,1.0
66,67,1,4,1.0
1,68,23,2,0.02
68,69,1,3,1.0
69,70,1,4,1.0
1,71,24,2,0.02
71,72,1,3,1.0
72,73,1,4,1.0
1,74,25,2,0.02
74,75,1,3,1.0
75,76,1,4,1.0
1,77,26,2,0.02
77,78,1,3,1.0
78,79,1,4,1.0
1,80,27,2,0.02
80,81,1,3,1.0
81,82,1,4,1.0
1,83,28,2,0.02
83,84,1,3,1.0
84,85,1,4,1.0
1,86,29,2,0.02
86,87,1,3,1.0
87,88,1,4,1.0
1,89,30,2,0.02
89,90,1,3,1.0
90,91,1,4,1.0
1,92,31,2,0.02
92,93,1,3,1.0
93,94,1,4,1.0
1,95,32,2,0.02
95,96,1,3,1.0
96,97,1,4,1.0
1,98,33,2,0.02
98,99,1,3,1.0
99,100,1,4,1.0
1,101,34,2,0.02
101,102,1,3,1.0
102,103,1,4,1.0
1,104,35,2,0.02
104,105,1,3,1.0
105,106,1,4,1.0
1,107,36,2,0.02
107,108,1,3,1.0
108,109,1,4,1.0
1,110,37,2,0.02
110,111,1,3,1.0
111,112,1,4,1.0
1,113,38,2,0.02
113,114,1,3,1.0
114,115,1,4,1.0
1,116,39,2,0.02
116,117,1,3,1.0
117,118,1,4,1.0
1,119,40,2,0.02
119,120,1,3,1.0
120,121,1,4,1.0
1,122,41,2,0.02
122,123,1,3,1.0
123,124,1,4,1.0
1,125,42,2,0.02
125,126,1,3,1.0
126,127,1,4,1.0
1,128,43,2,0.02
128,129,1,3,1.0
129,130,1,4,1.0
1,131,44,2,0.02
131,132,1,3,1.0
132,133,1,4,1.0
1,134,45,2,0.02
134,135,1,3,1.0
135,136,1,4,1.0
1,137,46,2,0.02
137,138,1,3,1.0
138,139,1,4,1.0
1,140,47,2,0.02
140,141,1,3,1.0
141,142,1,4,1.0
1,143,48,2,0.02
143,144,1,3,1.0
144,145,1,4,1.0
1,146,49,2,0.02
146,147,1,3,1.0
147,148,1,4,1.0
1,149,50,2,0.02
149,150,1,3,1.0
150,151,1,4,1.0
